mgi_symbol	mgi_description	ensembl_gene_id
Kif6; D130004B10Rik; D130084M03Rik	kinesin family member 6	ENSMUSG00000023999
Brd4; HUNK1; MCAP; WI-11513	bromodomain containing 4	ENSMUSG00000024002
Stk38; 5830476G13Rik; 9530097A09Rik; Ndr1	serine/threonine kinase 38	ENSMUSG00000024006
Ppil1; 1110060O10Rik; Cypl1	peptidylprolyl isomerase (cyclophilin)-like 1	ENSMUSG00000024007
Cpne5; A830083G22Rik	copine V	ENSMUSG00000024008
Pi16; 1200009H11Rik	peptidase inhibitor 16	ENSMUSG00000024011
Mtch1; 2310034O17Rik	mitochondrial carrier 1	ENSMUSG00000024012
Fgd2; Tcd-2; Tcd2; tcs-2; tcs2	FYVE, RhoGEF and PH domain containing 2	ENSMUSG00000024013
Pim1; Pim-1	proviral integration site 1	ENSMUSG00000024014
Ccdc167; 1110021J02Rik	coiled-coil domain containing 167	ENSMUSG00000024018
Cmtr1; 1300018I05Rik; Ftsjd2	cap methyltransferase 1	ENSMUSG00000024019
Glo1; 0610009E22Rik; 1110008E19Rik; 2510049H23Rik; Glo-1; Glo-1r; Glo-1s; Glo1-r; Glo1-s; Qglo	glyoxalase 1	ENSMUSG00000024026
Glp1r; GLP-1R; GLP1Rc	glucagon-like peptide 1 receptor	ENSMUSG00000024027
Tff2; mSP; SP	trefoil factor 2 (spasmolytic protein 1)	ENSMUSG00000024028
Tff3; ITF; mITF	trefoil factor 3, intestinal	ENSMUSG00000024029
Abcg1; Abc8; White	ATP binding cassette subfamily G member 1	ENSMUSG00000024030
Tff1; Bcei; PS2	trefoil factor 1	ENSMUSG00000024032
Rsph1; MCA; meichroacidin; Tsga2	radial spoke head 1 homolog (Chlamydomonas)	ENSMUSG00000024033
Tmprss3	transmembrane protease, serine 3	ENSMUSG00000024034
Slc37a1; G3PP	solute carrier family 37 (glycerol-3-phosphate transporter), member 1	ENSMUSG00000024036
Wdr4; D530049K22Rik; Wh	WD repeat domain 4	ENSMUSG00000024037
Ndufv3; 1500032D16Rik	NADH:ubiquinone oxidoreductase core subunit V3	ENSMUSG00000024038
Cbs; HIP4	cystathionine beta-synthase	ENSMUSG00000024039
Cryaa; Acry-1; alpha-A-crystallin; Crya-1; Crya1; DAcry-1	crystallin, alpha A	ENSMUSG00000024041
Sik1; Msk; Snf1lk	salt inducible kinase 1	ENSMUSG00000024042
Arhgap28	Rho GTPase activating protein 28	ENSMUSG00000024043
Epb41l3; 4.1B; DAL1P; Epb4.1l3; NBL3	erythrocyte membrane protein band 4.1 like 3	ENSMUSG00000024044
Akap8; 1200016A02Rik; AKAP95	A kinase (PRKA) anchor protein 8	ENSMUSG00000024045
Myl12a; 2900073G15Rik; brain specific myosin regulatory light chain; NMDA receptor-interacting protein	myosin, light chain 12A, regulatory, non-sarcomeric	ENSMUSG00000024048
Myom1; D430047A17Rik; skelemin	myomesin 1	ENSMUSG00000024049
Wiz	widely-interspaced zinc finger motifs	ENSMUSG00000024050
Lpin2; 2610511G02Rik	lipin 2	ENSMUSG00000024052
Emilin2; basilin; FOAP-10	elastin microfibril interfacer 2	ENSMUSG00000024053
Smchd1; 4931400A14Rik; MommeD1	SMC hinge domain containing 1	ENSMUSG00000024054
Cyp4f13; 0610030I10Rik; leukotriene B4 omega hydroxylase; P450 CYP4F13	cytochrome P450, family 4, subfamily f, polypeptide 13	ENSMUSG00000024055
Ndc80; 2610020P18Rik; HEC1; Kntc2	NDC80 kinetochore complex component	ENSMUSG00000024056
Clip4; 1700024K14Rik; 1700074B05Rik; 4833417L20Rik; 5830409B12Rik; Rsnl2	CAP-GLY domain containing linker protein family, member 4	ENSMUSG00000024059
Lbh; 1810009F10Rik; 6720416L16Rik	limb-bud and heart	ENSMUSG00000024063
Galnt14; 0610033M06Rik	polypeptide N-acetylgalactosaminyltransferase 14	ENSMUSG00000024064
Ehd3; Ehd2	EH-domain containing 3	ENSMUSG00000024065
Xdh; xanthine oxidase; XO; Xor; Xox-1; Xox1	xanthine dehydrogenase	ENSMUSG00000024066
Dpy30; 2810410M20Rik	dpy-30, histone methyltransferase complex regulatory subunit	ENSMUSG00000024067
Spast; Spg4	spastin	ENSMUSG00000024068
Slc30a6; ZnT-6; ZnT6	solute carrier family 30 (zinc transporter), member 6	ENSMUSG00000024069
Prkd3; 4930557O20Rik; 5730497N19Rik; PKD3; Prkcn	protein kinase D3	ENSMUSG00000024070
Yipf4; 2310034L04Rik	Yip1 domain family, member 4	ENSMUSG00000024072
Birc6; A430032G04Rik; A430040A19Rik; apollon; Bruce; D630005A10Rik	baculoviral IAP repeat-containing 6	ENSMUSG00000024073
Crim1	cysteine rich transmembrane BMP regulator 1 (chordin like)	ENSMUSG00000024074
Vit; 1700052E02Rik; 1700110E08Rik; 2810429K11Rik; AKH; akhirin	vitrin	ENSMUSG00000024076
Strn	striatin, calmodulin binding protein	ENSMUSG00000024077
Ttc27; 2610511O17Rik	tetratricopeptide repeat domain 27	ENSMUSG00000024078
Eif2ak2; 2310047A08Rik; 4732414G15Rik; dsRNA-activated kinase; eIF-2 alpha; IFN- type I-induced and dsRNA-activated kinase; IFN-induced and double-stranded RNA-activated kinase; Pkr; Prkr; Tik	eukaryotic translation initiation factor 2-alpha kinase 2	ENSMUSG00000024079
Cebpz; Cbf; CBF2; Cebpa-rs1	CCAAT/enhancer binding protein zeta	ENSMUSG00000024081
Ndufaf7; 2410091C18Rik	NADH:ubiquinone oxidoreductase complex assembly factor 7	ENSMUSG00000024082
Pja2; Neurodap1	praja ring finger ubiquitin ligase 2	ENSMUSG00000024083
Qpct; 5730422A13Rik	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	ENSMUSG00000024084
Man2a1; Mana-2; Mana2; Map-2	mannosidase 2, alpha 1	ENSMUSG00000024085
Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	ENSMUSG00000024087
4930583I09Rik	RIKEN cDNA 4930583I09 gene	ENSMUSG00000024088
Vapa; synaptobrevin-associated protein of 33kDa; VAP33	vesicle-associated membrane protein, associated protein A	ENSMUSG00000024091
Hnrnpll; 2510028H02Rik; 2810036L13Rik; Hnrpll	heterogeneous nuclear ribonucleoprotein L-like	ENSMUSG00000024095
Ralbp1; Rip1; RLIP76	ralA binding protein 1	ENSMUSG00000024096
Srsf7; 9430065L19Rik; 9G8; NX-96; Sfrs7	serine and arginine-rich splicing factor 7	ENSMUSG00000024097
Twsg1; 1810013J15Rik; 9030422N06Rik; D17Ertd403e; Tsg	twisted gastrulation BMP signaling modulator 1	ENSMUSG00000024098
Ndufv2; 2900010C23Rik	NADH:ubiquinone oxidoreductase core subunit V2	ENSMUSG00000024099
Washc1; 1110049F14Rik; ORF19; Wash; Wash1	WASH complex subunit 1	ENSMUSG00000024101
Washc2; C530005J20Rik; D6Wsu116e; Fam21	WASH complex subunit 2`	ENSMUSG00000024104
Themis3; 9130404H23Rik	thymocyte selection associated family member 3	ENSMUSG00000024105
Lhcgr; Gpcr19-rs1; LH-R; Lhr	luteinizing hormone/choriogonadotropin receptor	ENSMUSG00000024107
Nrxn1; 1700062G21Rik; 9330127H16Rik; A230068P09Rik; alpha-latrotoxin receptor (calcium-dependent); neurexin I alpha; neurexin I beta	neurexin I	ENSMUSG00000024109
Cacna1h; alpha13.2; Cav3.2; T-type Cav3.2	calcium channel, voltage-dependent, T type, alpha 1H subunit	ENSMUSG00000024112
Prss41; 4931440B09Rik; Tessp1	protease, serine 41	ENSMUSG00000024114
Prss21; 1700023E12Rik; mT4; TESP5; testisin	protease, serine 21	ENSMUSG00000024116
Tedc2; 1600002H07Rik	tubulin epsilon and delta complex 2	ENSMUSG00000024118
Lrpprc; 3110001K13Rik; Lrp130	leucine-rich PPR-motif containing	ENSMUSG00000024120
Atp6v0c; Atp6c2; Atp6l; Atpl; Atpl-rs1; H(+)-ATPase (mvp); PL16; proteolipid	ATPase, H+ transporting, lysosomal V0 subunit C	ENSMUSG00000024121
Pdpk1; Pdk1; Pkb kinase	3-phosphoinositide dependent protein kinase 1	ENSMUSG00000024122
Prss30; 2010015P21Rik; Disp; Disp1; Tmprss8	protease, serine 30	ENSMUSG00000024124
Sbpl; 2310068J22Rik	spermine binding protein-like	ENSMUSG00000024125
Prepl; 2810457N15Rik; 9530014L06Rik; D030028O16Rik	prolyl endopeptidase-like	ENSMUSG00000024127
Sbp; p25	spermine binding protein	ENSMUSG00000024128
Abca3; 1810036E22Rik; ABC-C; Abc3	ATP-binding cassette, sub-family A (ABC1), member 3	ENSMUSG00000024130
Slc3a1; D2H; NTAA	solute carrier family 3, member 1	ENSMUSG00000024131
Eci1; Dci; eci	enoyl-Coenzyme A delta isomerase 1	ENSMUSG00000024132
Six2	sine oculis-related homeobox 2	ENSMUSG00000024134
Srbd1; D530025C17Rik	S1 RNA binding domain 1	ENSMUSG00000024135
Dnase1l2; 4733401H14Rik	deoxyribonuclease 1-like 2	ENSMUSG00000024136
E4f1	E4F transcription factor 1	ENSMUSG00000024137
Epas1; bHLHe73; Hif like protein; HIF-2alpha; HIF2A; HLF; HRF; hypoxia inducible transcription factor 2alpha; MOP2	endothelial PAS domain protein 1	ENSMUSG00000024140
Mlst8; 0610033N12Rik; Gbl; mLST8	MTOR associated protein, LST8 homolog (S. cerevisiae)	ENSMUSG00000024142
Rhoq; Arhq; TC10	ras homolog family member Q	ENSMUSG00000024143
Pigf	phosphatidylinositol glycan anchor biosynthesis, class F	ENSMUSG00000024145
Cript; 1200020A08Rik; CRIPT	cysteine-rich PDZ-binding protein	ENSMUSG00000024146
Mcfd2; 1810021C21Rik; F5F8D; LMAN1IP	multiple coagulation factor deficiency 2	ENSMUSG00000024150
Msh2	mutS homolog 2	ENSMUSG00000024151
Gtf2a1l; 1700011N16Rik; Alf; Gtf2a1lf	general transcription factor IIA, 1-like	ENSMUSG00000024154
Meiob; 4930528F23Rik	meiosis specific with OB domains	ENSMUSG00000024155
Hagh; Glo-2; Glo2; Rsp29	hydroxyacyl glutathione hydrolase	ENSMUSG00000024158
Spsb3; 2310012N15Rik; 3300001M01Rik; SSB3; Tce1	splA/ryanodine receptor domain and SOCS box containing 3	ENSMUSG00000024160
Mapk8ip3; c-Jun NH2-terminal kinase (JNK)/stress-activated protein kinase-associated protein 1; D17Wsu15e; Jip3; JNK-interacting protein 3; JSAP1; JSAP1a; JSAP1b; JSAP1c; JSAP1d; JUN/SAPK-associated protein 1; sunday driver 2; Syd2	mitogen-activated protein kinase 8 interacting protein 3	ENSMUSG00000024163
C3; acylation stimulating protein; complement factor 3; Plp	complement component 3	ENSMUSG00000024164
Jpt2; 2810430B18Rik; D17Ertd441e; Hn1l	Jupiter microtubule associated homolog 2	ENSMUSG00000024165
Tmem204	transmembrane protein 204	ENSMUSG00000024168
Ift140; Tce5; Wdtc2	intraflagellar transport 140	ENSMUSG00000024169
Telo2; 1200003M09Rik	telomere maintenance 2	ENSMUSG00000024170
Prss28; Isp1; mIsp-1	protease, serine 28	ENSMUSG00000024171
St6gal2; C230064G14Rik; ST6Gal II	beta galactoside alpha 2,6 sialyltransferase 2	ENSMUSG00000024172
Tpsab1; Mcp-7; Mcpt7; MMCP-7	tryptase alpha/beta 1	ENSMUSG00000024173
Pot1b; 2810458H16Rik	protection of telomeres 1B	ENSMUSG00000024174
Tekt4; 1700010L19Rik	tektin 4	ENSMUSG00000024175
Sox8	SRY (sex determining region Y)-box 8	ENSMUSG00000024176
Nme4; 2610027N22Rik; 2810024O08Rik; 5730493H09Rik; NM23-M4; non-metastatic cells 4, protein expressed in	NME/NM23 nucleoside diphosphate kinase 4	ENSMUSG00000024177
Tmem8; M83; Rxylt1	transmembrane protein 8	ENSMUSG00000024180
Mrpl28; 1110015G04Rik; MAAT1; p15	mitochondrial ribosomal protein L28	ENSMUSG00000024181
Axin1	axin 1	ENSMUSG00000024182
Pdia2; 1810041F13Rik; Pdip; Pdipl	protein disulfide isomerase associated 2	ENSMUSG00000024184
Rgs11	regulator of G-protein signaling 11	ENSMUSG00000024186
Fam234a; Itfg3	family with sequence similarity 234, member A	ENSMUSG00000024187
Luc7l; 1810045C04Rik; 2410018D03Rik	Luc7-like	ENSMUSG00000024188
Dusp1; 3CH134; erp; mkp-1; MKP1; Ptpn16	dual specificity phosphatase 1	ENSMUSG00000024190
Bnip1; 2010005M06Rik; 5930429G21Rik	BCL2/adenovirus E1B interacting protein 1	ENSMUSG00000024191
Phf1; D17Ertd455e; mPcl1; PHF2; Tctex-3; Tctex3	PHD finger protein 1	ENSMUSG00000024193
Cuta; 0610039D01Rik; 1810022E02Rik; 1810060C03Rik; 2700094G22Rik; CutA	cutA divalent cation tolerance homolog	ENSMUSG00000024194
Plin3; 1300012C15Rik; M6prbp1; Tip47	perilipin 3	ENSMUSG00000024197
Kdm4b; 4732474L06Rik; Jmjd2b	lysine (K)-specific demethylase 4B	ENSMUSG00000024201
Rpl36-ps2; ; Gm12342	ribosomal protein L36, pseudogene 2	ENSMUSG00000024205
Rfx2; 5430432H19Rik	regulatory factor X, 2 (influences HLA class II expression)	ENSMUSG00000024206
Acsbg2; Bgr	acyl-CoA synthetase bubblegum family member 2	ENSMUSG00000024207
Uqcc2; 2900010M23Rik; Cbp6; Mnf1	ubiquinol-cytochrome c reductase complex assembly factor 2	ENSMUSG00000024208
Acsbg3; 1700061G19Rik	acyl-CoA synthetase bubblegum family member 3	ENSMUSG00000024209
Ip6k3; D830007E07Rik; Ihpk3	inositol hexaphosphate kinase 3	ENSMUSG00000024210
Grm8; Gprc1h; mGluR8	glutamate receptor, metabotropic 8	ENSMUSG00000024211
Mllt1; BAM11; ENL; LTG19	myeloid/lymphoid or mixed-lineage leukemia;  translocated to, 1	ENSMUSG00000024212
Nudt3; 1110011B09Rik; diphosphoinositol polyphosphate phosphohydrolase; Dipp	nudix (nucleotide diphosphate linked moiety X)-type motif 3	ENSMUSG00000024213
Spdef; PDEF; Pse	SAM pointed domain containing ets transcription factor	ENSMUSG00000024215
Snrpc; Snrp1c; U1-C	U1 small nuclear ribonucleoprotein C	ENSMUSG00000024217
Taf11; 1110038O14Rik; 28kDa; PRO214; TAF2I; TAFII28	TATA-box binding protein associated factor 11	ENSMUSG00000024218
Anks1; Odin	ankyrin repeat and SAM domain containing 1	ENSMUSG00000024219
Zfp523	zinc finger protein 523	ENSMUSG00000024220
Fkbp5; D17Ertd592e; Dit1; FKBP51	FK506 binding protein 5	ENSMUSG00000024222
Armc12; 4930511I11Rik	armadillo repeat containing 12	ENSMUSG00000024223
Clpsl2; Gm749; LOC328788	colipase-like 2	ENSMUSG00000024224
Clps	colipase, pancreatic	ENSMUSG00000024225
Pdzph1; 2610034M16Rik	PDZ and pleckstrin homology domains 1	ENSMUSG00000024227
Nudt12; 0610016O18Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 12	ENSMUSG00000024228
Cul2; 1300003D18Rik; 4932411N15Rik	cullin 2	ENSMUSG00000024231
Bambi; 2610003H06Rik	BMP and activin membrane-bound inhibitor	ENSMUSG00000024232
Lyzl1; 1700038F02Rik	lysozyme-like 1	ENSMUSG00000024233
Mtpap; 0610027A18Rik; Papd1; Tent6	mitochondrial poly(A) polymerase	ENSMUSG00000024234
Map3k8; c-COT; Cot; Cot/Tpl2; Tpl-2; Tpl2	mitogen-activated protein kinase kinase kinase 8	ENSMUSG00000024235
Svil; B430302E16Rik	supervillin	ENSMUSG00000024236
Zeb1; 3110032K11Rik; AREB6; MEB1; Nil2; Tcf18; Tcf8; Tw; ZEB; Zfhep; Zfhx1a; Zfx1a; [delta]EF1	zinc finger E-box binding homeobox 1	ENSMUSG00000024238
Epc1; 2400007E14Rik; 5730566F07Rik; A930032N02Rik	enhancer of polycomb homolog 1	ENSMUSG00000024240
Sos1; 4430401P03Rik	SOS Ras/Rac guanine nucleotide exchange factor 1	ENSMUSG00000024241
Map4k3; 9530052P13Rik	mitogen-activated protein kinase kinase kinase kinase 3	ENSMUSG00000024242
Tmem178; 2810417M05Rik	transmembrane protein 178	ENSMUSG00000024245
Thumpd2; 2810025A12Rik	THUMP domain containing 2	ENSMUSG00000024246
Pkdcc; Adtk1; ESTM17; MAd1; Vlk	protein kinase domain containing, cytoplasmic	ENSMUSG00000024247
Cox7a2l; COX7AR; COX7RP; EB1; SIG-81; SIG81	cytochrome c oxidase subunit 7A2 like	ENSMUSG00000024248
Thada	thyroid adenoma associated	ENSMUSG00000024251
Dync2li1; 4933404O11Rik; CGI-60; D2lic; LIC3; mD2LIC	dynein cytoplasmic 2 light intermediate chain 1	ENSMUSG00000024253
Abcg8; 1300003C16Rik; Sterolin-2	ATP binding cassette subfamily G member 8	ENSMUSG00000024254
Adcyap1; PACAP	adenylate cyclase activating polypeptide 1	ENSMUSG00000024256
Polr2d; 2310002G05Rik; 2610028L19Rik; HSRBP4; RBP4	polymerase (RNA) II (DNA directed) polypeptide D	ENSMUSG00000024258
Slc25a46; 1200007B05Rik	solute carrier family 25, member 46	ENSMUSG00000024259
Sap130; 2610304F09Rik	Sin3A associated protein	ENSMUSG00000024260
Syt4	synaptotagmin IV	ENSMUSG00000024261
Adad2; 4930403J07Rik	adenosine deaminase domain containing 2	ENSMUSG00000024266
Celf4; A230070D14Rik; Brul4; BRUNOL-4; Brunol4; C130060B05Rik	CUGBP, Elav-like family member 4	ENSMUSG00000024268
Tpgs2; 5730437P09Rik; 5730494M16Rik	tubulin polyglutamylase complex subunit 2	ENSMUSG00000024269
Slc39a6; Ermelin; Zip6	solute carrier family 39 (metal ion transporter), member 6	ENSMUSG00000024270
Elp2; Stat3-interacting protein; Statip1; StIP1	elongator acetyltransferase complex subunit 2	ENSMUSG00000024271
2700062C07Rik	RIKEN cDNA 2700062C07 gene	ENSMUSG00000024273
Zscan30; ; C230097I24Rik; Zfp397os	zinc finger and SCAN domain containing 30	ENSMUSG00000024274
Zfp397; 2810411K16Rik; 6720480F11Rik	zinc finger protein 397	ENSMUSG00000024276
Mapre2; C820009F03Rik; D18Abb1e; EB2; RP1	microtubule-associated protein, RP/EB family, member 2	ENSMUSG00000024277
Wac; 1110067P07Rik; A230035H12Rik; Wwp4	WW domain containing adaptor with coiled-coil	ENSMUSG00000024283
Ccny; 1700025H17Rik; 3110050L10Rik; 4631402G10Rik; 5730405I09Rik	cyclin Y	ENSMUSG00000024286
Thoc1; 3110002N20Rik; NMP-84	THO complex 1	ENSMUSG00000024287
Rock1; 1110055K06Rik; Rock-I	Rho-associated coiled-coil containing protein kinase 1	ENSMUSG00000024290
Cyp4f14; 1300014O15Rik; leukotriene B4 omega hydroxylase	cytochrome P450, family 4, subfamily f, polypeptide 14	ENSMUSG00000024292
Esco1; A930014I12Rik	establishment of sister chromatid cohesion N-acetyltransferase 1	ENSMUSG00000024293
Mib1; E430019M12Rik; Mib; mind bomb-1; skeletrophin	mindbomb E3 ubiquitin protein ligase 1	ENSMUSG00000024294
Cyp4f41-ps	cytochrome P450, family 4, subfamily f, polypeptide 41 pseudogene	ENSMUSG00000024295
Zfp871; 9030612M13Rik	zinc finger protein 871	ENSMUSG00000024298
Adamts10; ZnMP	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10	ENSMUSG00000024299
Myo1f; C330006B10Rik	myosin IF	ENSMUSG00000024300
Kifc5b; kinesin family c-terminal 5B	kinesin family member C5B	ENSMUSG00000024301
Dtna; 2210407P21Rik; 87K protein; a-DB-1; A0; adbn; alpha-dystrobrevin; Dtn	dystrobrevin alpha	ENSMUSG00000024302
Cdh2; N-CAD; N-cadherin; Ncad	cadherin 2	ENSMUSG00000024304
Ccdc178; 4921528I01Rik	coiled coil domain containing 178	ENSMUSG00000024306
Tapbp; D17Wsu91e; tapasin; TPN	TAP binding protein	ENSMUSG00000024308
Pfdn6; H-2Ke2; H2-Ke2; Ke-2	prefoldin subunit 6	ENSMUSG00000024309
Wdr46; 2310007I04Rik; Bing4	WD repeat domain 46	ENSMUSG00000024312
Mep1b; Mep-1b; meprin beta	meprin 1 beta	ENSMUSG00000024313
Rnf138; 2410015A17Rik; 2810480D20Rik; Trif-d	ring finger protein 138	ENSMUSG00000024317
Vps52; ARE1; D430041K17Rik; Sacm2l; tcl-w5; tclw5	VPS52 GARP complex subunit	ENSMUSG00000024319
Ring1; Ring1A	ring finger protein 1	ENSMUSG00000024325
Slc39a7; H-2Ke4; H2-Ke4; Ke-4; KE4; Ring5; Zip7	solute carrier family 39 (zinc transporter), member 7	ENSMUSG00000024327
Col11a2	collagen, type XI, alpha 2	ENSMUSG00000024330
Dsc2; Dsc2a; Dsc2b	desmocollin 2	ENSMUSG00000024331
H2-Oa; H-2Oa	histocompatibility 2, O region alpha locus	ENSMUSG00000024334
Brd2; D17H6S113E; Frg-1; Fsrg1; Ring3; Rnf3	bromodomain containing 2	ENSMUSG00000024335
Psmb8; Lmp-7; Lmp7	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	ENSMUSG00000024338
Tap2; Abcb3; Ham-2; Ham2; MTP2; PSF2; Tap-2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	ENSMUSG00000024339
Btnl2; BTL-II; BTLN2; butyrophylin-like MHC class II associated; NG9	butyrophilin-like 2	ENSMUSG00000024340
Pfdn1; 2700086I23Rik	prefoldin 1	ENSMUSG00000024346
Psd2; 6330404E20Rik; EFA6C	pleckstrin and Sec7 domain containing 2	ENSMUSG00000024347
Sting1; 2610307O08Rik; ERIS; MPYS; Sting; Tmem173	stimulator of interferon response cGAMP interactor 1	ENSMUSG00000024349
Dnajc18; 2700075B01Rik	DnaJ heat shock protein family (Hsp40) member C18	ENSMUSG00000024350
Spata24; 2700012K08Rik; 4930583E11Rik; 5133400G04Rik; TIPT; TIPT2	spermatogenesis associated 24	ENSMUSG00000024352
Mzb1; 2010001M09Rik; pERp1	marginal zone B and B1 cell-specific protein 1	ENSMUSG00000024353
Slc23a1; D18Ucla2; Slc23a2; SVCT1; YSPL3	solute carrier family 23 (nucleobase transporters), member 1	ENSMUSG00000024354
Sil1; 1810057E01Rik	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae)	ENSMUSG00000024357
Hspa9; C3H-specific antigen; CSA; GRP75; Hsc74; Hsp74; Hsp74a; Hspa9a; mortalin; mot-2; mthsp70; PBP74	heat shock protein 9	ENSMUSG00000024359
Etf1; ERF1; SUP45L1; TB3-1	eukaryotic translation termination factor 1	ENSMUSG00000024360
Cyp21a1; 21-hydroxylase; 21-OH; 21OH; 21OHA; Cyp21; Oh21-1	cytochrome P450, family 21, subfamily a, polypeptide 1	ENSMUSG00000024365
Gfra3; GFR alpha-3; GFRalpha3	glial cell line derived neurotrophic factor family receptor alpha 3	ENSMUSG00000024366
Nelfe; NELF-E; Rdbp	negative elongation factor complex member E, Rdbp	ENSMUSG00000024369
Cdc23; D18Ertd243e	CDC23 cell division cycle 23	ENSMUSG00000024370
C2; classical-complement pathway C3/C5 convertase	complement component 2 (within H-2S)	ENSMUSG00000024371
Epb41l4a; Epb4.1l4a; NBL4	erythrocyte membrane protein band 4.1 like 4a	ENSMUSG00000024376
Stard4; 4632419C16Rik; 9030213J02Rik	StAR-related lipid transfer (START) domain containing 4	ENSMUSG00000024378
Tslp	thymic stromal lymphopoietin	ENSMUSG00000024379
Bin1; Amphiphysin 2; Amphl	bridging integrator 1	ENSMUSG00000024381
Ercc3; XPB	excision repair cross-complementing rodent repair deficiency, complementation group 3	ENSMUSG00000024382
Map3k2; 9630061B06Rik; MEK kinase 2; Mekk2	mitogen-activated protein kinase kinase kinase 2	ENSMUSG00000024383
Iws1; 1700069O15Rik	IWS1, SUPT6 interacting protein	ENSMUSG00000024384
Proc; inactivator of coagulation factors Va, VIII; PC	protein C	ENSMUSG00000024386
Csnk2b	casein kinase 2, beta polypeptide	ENSMUSG00000024387
Myo7b	myosin VIIB	ENSMUSG00000024388
Apom; 1190010O19Rik; G3a; NG20	apolipoprotein M	ENSMUSG00000024391
Bag6; 2410045D21Rik; Bat3; D17H6S52E; G3; Scythe	BCL2-associated athanogene 6	ENSMUSG00000024392
Prrc2a; 3110039B05Rik; Bat-2; Bat2; D17H6S51E; G2; Wbp12	proline-rich coiled-coil 2A	ENSMUSG00000024393
Lims2; PINCH2	LIM and senescent cell antigen like domains 2	ENSMUSG00000024395
Aif1; D17H6S50E; G1; Iba1	allograft inflammatory factor 1	ENSMUSG00000024397
Ltb; LTbeta; lymphotoxin beta; p33; Tnfc; Tnfsf3	lymphotoxin B	ENSMUSG00000024399
Wdr33; 1110001N06Rik; 2310011G05Rik; 2810021O11Rik; 8430413N20Rik; WDC146	WD repeat domain 33	ENSMUSG00000024400
Tnf; DIF; TNF alpha; TNF-alpha; Tnfa; TNFalpha; Tnfsf1a; tumor necrosis factor-alpha	tumor necrosis factor	ENSMUSG00000024401
Lta; hlb382; LT; LT-alpha; LT-[a]; LTalpha; Ltx; LT[a]; lymphotoxin; lymphotoxin alpha; TNF beta; TNF-beta; Tnfb; Tnfsf1b	lymphotoxin A	ENSMUSG00000024402
Atp6v1g2; 1500002D01Rik; Atp6g2; lysosomal 13kDa; NG38; VAG2	ATPase, H+ transporting, lysosomal V1 subunit G2	ENSMUSG00000024403
Riok3; 1200013N13Rik; D18Ertd331e; E130306C24Rik; Sudd	RIO kinase 3	ENSMUSG00000024404
Pou5f1; Oct-3; Oct-3/4; Oct-4; Oct3/4; Oct4; Otf-3; Otf-4; Otf3; Otf3-rs7; Otf3g; Otf4	POU domain, class 5, transcription factor 1	ENSMUSG00000024406
Psors1c2; Pcg; SPR1	psoriasis susceptibility 1 candidate 2 (human)	ENSMUSG00000024409
Rmc1; 3110002H16Rik	regulator of MON1-CCZ1	ENSMUSG00000024410
Aqp4; aquaporin-4	aquaporin 4	ENSMUSG00000024411
Npc1; A430089E03Rik; C85354; D18Ertd139e; D18Ertd723e; lcsd; nmf164	NPC intracellular cholesterol transporter 1	ENSMUSG00000024413
